precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 2,650,000|/inmueble/adff-a171-214fc4cd-7da169b17c8c-493e|Casa en  Santiago De Surco, Lima|2,500m2|4|3|PE|Santiago de Surco, Lima|Lima Departamento||-12.0951917|-76.9713914
$ 320,000|/inmueble/9178-a224-15a5d0e7-45c8d574c83e-473f|Casa en  Av. Sangarara 623, Comas, Perú|300m2|5|6|PE|Comas, Lima|Lima Departamento|Av. Sangarara 623, Comas, Perú|-11.9161135|-77.0572203
$ 650,520|/inmueble/463650|Casa en  Calle 4, Lurín, Perú|2,502m2|3|3|PE|Lurin, Lima|Lima Departamento|Calle 4, Lurín, Perú|-12.2608092|-76.8840477
$ 490,000|/inmueble/584529|Casa en  Matamoros, Pachacamac, Perú|1,155m2|6|8|PE|Pachacamac, Lima|Lima Departamento|Matamoros, Pachacamac, Perú|-12.2238139|-76.8641686
$ 559,000|/inmueble/626449|Casa en  H649+9p Pucusana, Perú|377m2|4|3|PE|Pucusana, Lima|Lima Departamento|H649+9p Pucusana, Perú|-12.444015199893702|-76.78063499317626
$ 130,000|/inmueble/8119-a666-284ae71f-f18b3cef22c5-4f8a|Casa en  Bayóvar, Avenida Fernando Wiesse, San Juan De Lurigancho, Perú|216m2|6|3|PE|San Juan de Lurigancho, Lima|Lima Departamento|Bayóvar, Avenida Fernando Wiesse, San Juan De Lurigancho, Perú|-11.9597841|-76.9875007
$ 365,000|/inmueble/536839|Casa en  Loma Verde 383, Santiago De Surco, Perú|173m2|3|2|PE|Santiago de Surco, Lima|Lima Departamento|Loma Verde 383, Santiago De Surco, Perú|-12.1384537|-76.9876402
$ 105,000|/inmueble/506280|Casa en  Carabayllo, Lima|120m2|3|2|PE|Carabayllo, Lima|Lima Departamento||-11.861221746941098|-77.04637181013823
$ 200,000|/inmueble/582413|Casa en  Jr. Napo, Breña, Perú|155m2|4|3|PE|28 De Julio, Breña, Lima|Lima Departamento|Jr. Napo, Breña, Perú|-12.0595988|-77.0544374
$ 160,000|/inmueble/a82d-c008-85345c0-462563fc786f-4a1a|Casa en  Av. Bolívar, Cieneguilla, Perú|300m2|4|3|PE|Cieneguilla, Lima|Lima Departamento|Av. Bolívar, Cieneguilla, Perú|-12.1123671|-76.8261105
$ 880,000|/inmueble/31d5-af90-59d0b226-d3963b227181-1273|Casa en  Rio De Janeiro 315, Cercado De Lima 15026, Perú|550m2|4|5|PE|El Sol De La Molina, La Molina, Lima|Lima Departamento|Rio De Janeiro 315, Cercado De Lima 15026, Perú|-12.083217091684917|-76.89404882490635
$ 455,000|/inmueble/52b8-a6c0-5bddf2cc-d8c6936ac4f9-43f9|Casa en  Camacho, Lima|300m2|3|3|PE|Camacho, La Molina, Lima|Lima Departamento||-12.066330422782894|-76.95039834827185
$ 430,000|/inmueble/135a-9753-a6ed7e57-e7f09ba553db-4427|Casa en  Bolognesi 627, Miraflores 15074, Perú|350m2|8|6|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Bolognesi 627, Miraflores 15074, Perú|-12.124664577353805|-77.03586442883606
$ 929,000|/inmueble/607905|Casa en  Calle 26 N 17, San Borja, Perú|503m2|6|5|PE|San Borja, Lima|Lima Departamento|Calle 26 N 17, San Borja, Perú|-12.0953246|-76.98253489999999
$ 215,000|/inmueble/402732|Casa en  Kentia Playa Puerto Viejo, Chilca, Peru|197m2|4|3|PE|San Antonio, Cañete|Lima Departamento|Kentia Playa Puerto Viejo, Chilca, Peru|-12.5844067|-76.7034265
$ 580,000|/inmueble/554347|Casa en  San Borja, Lima|200m2|9|5|PE|San Borja, Lima|Lima Departamento||-12.1011576|-77.0017558
$ 1,600,000|/inmueble/622543|Casa en  Rinconada Alta, Lima|1,290m2|7|8|PE|Rinconada Alta, La Molina, Lima|Lima Departamento||-12.07798|-76.929535
$ 700,000|/inmueble/622474|Casa en  Pueblo Libre, Lima|270m2|5|4|PE|Pueblo Libre, Lima|Lima Departamento||-12.072166|-77.062696
$ 565,000|/inmueble/622364|Casa en  Pueblo Libre, Lima|251m2|7|6|PE|Pueblo Libre, Lima|Lima Departamento||-12.073921|-77.075146
$ 720,000|/inmueble/622331|Casa en  San Antonio, Lima|302m2|5|4|PE|San Antonio, Miraflores, Lima|Lima Departamento||-12.126026|-77.020262
$ 326,000|/inmueble/622304|Casa en  Maranga, Lima|170m2|4|3|PE|Maranga, San Miguel, Lima|Lima Departamento||-12.080355|-77.097054
$ 315,000|/inmueble/622267|Casa en  San Borja, Lima|148m2|9|9|PE|San Borja, Lima|Lima Departamento||-12.1102499|-77.0099679
$ 1,750,000|/inmueble/622262|Casa en  La Planicie, Lima|1,478m2|5|7|PE|La Planicie, La Molina, Lima|Lima Departamento||-12.075639|-76.911006
