precio|enlace|descripcion|area|habitaciones|banios|pais|localidad|region|direccion|latitude|longitude
$ 265,000|/inmueble/41c5-b3e0-2c38d366-f31926feb241-1273|Departamento en  Av. Monterrico Chico 136, Santiago De Surco 15039, Perú|165.65m2|3|3|PE|Santiago de Surco, Lima|Lima Departamento|Av. Monterrico Chico 136, Santiago De Surco 15039, Perú|-12.124233952397539|-76.97785075753927
$ 275,000|/inmueble/43a8-a3d0-25bb317c-ef9457500e23-44f1|Departamento en  Avenida Ricardo Palma 971, Miraflores, Perú|121m2|2|2|PE|San Antonio, Miraflores, Lima|Lima Departamento|Avenida Ricardo Palma 971, Miraflores, Perú|-12.122395|-77.0198771
$ 175,000|/inmueble/3feb-85b8-12af4104-5567b2ad37f1-4512|Departamento en  Liceo Naval "contralmirante Montero", Avenida República De Venezuela, San Miguel, Perú|97.7m2|2|2|PE|Maranga, San Miguel, Lima|Lima Departamento|Liceo Naval |-12.062193|-77.08915
$ 84,999|/inmueble/490931|Departamento en  Surquillo, Lima|105m2|1|2|PE|Surquillo, Lima|Lima Departamento||-12.113096725267596|-77.01445148833008
$ 625,000|/inmueble/391105|Departamento en  Miraflores, Perú|216m2|3|2|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Miraflores, Perú|-12.1218773|-77.03053899999999
$ 153,000|/inmueble/6c86-b2e7-e8ec67fe-d74305bbf22e-4402|Departamento en  Calle Daniel Olaechea, Jesús María, Perú|62m2|2|2|PE|Salaverry Et.2, Jesus Maria, Lima|Lima Departamento|Calle Daniel Olaechea, Jesús María, Perú|-12.0852739|-77.0500346
$ 159,396.61|/inmueble/1003e-a2e7-b0a42e2c-f8ae8a167d-48e9|Departamento en  Av. Alberto Del Campo 444, Magdalena Del Mar 15076, Perú|89.33m2|3|2|PE|Magdalena del Mar, Lima|Lima Departamento|Av. Alberto Del Campo 444, Magdalena Del Mar 15076, Perú|-12.097006961411903|-77.05724669762269
$ 198,500|/inmueble/587350|Departamento en  Bolognesi 364, Miraflores 15074, Perú|101m2|3|3|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Bolognesi 364, Miraflores 15074, Perú|-12.121898384119707|-77.03605201095343
$ 370,000|/inmueble/f72a-81e6-5f72b78a-d261fc89d44b-49db|Departamento en  Armendáriz, Lima|130m2|2|3|PE|Armendáriz, Miraflores, Lima|Lima Departamento||-12.1310142|-77.0316528
$ 124,999|/inmueble/600044|Departamento en  Oyague, Lima|96.73m2|3|2|PE|Oyague, Jesus Maria, Lima|Lima Departamento||-12.07131660236478|-77.03883614391088
$ 169,000|/inmueble/ed1-8d8c-4a7fecd8-6b93f82ce4cd-500f|Departamento en  San Borja Sur 443, San Borja, Lima, Lima, Perú|116.6m2|3|2|PE|Cercado de Lima, Lima|Lima Departamento|San Borja Sur 443, San Borja, Lima, Lima, Perú|-12.1008122|-77.0053188
$ 180,000|/inmueble/511744|Departamento en  Orrantia, Lima|94m2|1|2|PE|Orrantia, San Isidro, Lima|Lima Departamento||-12.0911355|-77.03721589999999
$ 129,000|/inmueble/578e-825d-18b7bb42-1de136f6bacd-45ee|Departamento en  Calle Rio Sena 165, La Molina, Lima Province, Lima, Perú|100.5m2|3|2|PE|Rinconada Baja, La Molina, Lima|Lima Departamento|Calle Rio Sena 165, La Molina, Lima Province, Lima, Perú|-12.1176646|-76.93480339999999
$ 515,000|/inmueble/a99a-b88e-6c84bafc-eaa4b824f659-40c2|Departamento en  Av. Alejandro Velasco Astete Oeste 732, San Borja 15037, Perú|281m2|3|4|PE|San Borja, Lima|Lima Departamento|Av. Alejandro Velasco Astete Oeste 732, San Borja 15037, Perú|-12.105845131028046|-76.98663977783202
$ 178,000|/inmueble/582313|Departamento en  Calle Los Mirtos 590, Lince, Perú|65m2|2|2|PE|San Eugenio, Lince, Lima|Lima Departamento|Calle Los Mirtos 590, Lince, Perú|-12.0886243|-77.0246099
$ 305,000|/inmueble/626350|Departamento en  Miraflores, Perú|190m2|3|3|PE|Cercado de Miraflores, Miraflores, Lima|Lima Departamento|Miraflores, Perú|-12.1218773|-77.03053899999999
