Empresa	Medio de Acceso	Mes	Departamento	Conexiones		
SUPERCABLE TELEVISION S.R.LTDA.		2004-02-01	PIURA	"5,145"		
TARMA VISIÓN S.R.L.		2004-02-01	JUNÍN	680		
TELE CABLE FUTURO S.A.C.		2004-02-01	ANCASH	232		
TELE CABLE MOTUPE S.R.L.		2004-02-01	LAMBAYEQUE	191		
TELECABLE CASMA S.R.LTDA. 		2004-02-01	ANCASH	632		
TELECABLE PAITA S.R.L.		2004-02-01	PIURA	"1,239"		
TELECABLE PANGOA S.R.L.		2004-02-01	JUNÍN	327		
TELECABLE SIGLO 21 S.A.A.		2004-02-01	LIMA	"6,255"		
TELECABLE TRUJILLO S.A.C.		2004-02-01	LA LIBERTAD	226		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	ANCASH	"3,449"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	AREQUIPA	"12,131"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	CUSCO	"7,028"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	JUNÍN	"2,501"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	LA LIBERTAD	"11,733"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	LAMBAYEQUE	"5,465"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	LIMA	"297,532"		
TELEFÓNICA MULTIMEDIA S.A.C.		2004-02-01	PIURA	"4,116"		
TELEVISIÓN ALVIS E.I.R.L.		2004-02-01	LORETO	165		
TELEVISION SAN MARTIN S.A.C.		2004-02-01	SAN MARTÍN	"2,596"		
TELEVISIÓN TOTAL S.A.C.		2004-02-01	LIMA	974		
TELEVISORA SATELITAL S.A.C.		2004-02-01	ANCASH	396		
TELEVISORA TLS CHEPEN S.A.C.		2004-02-01	LA LIBERTAD	915		
TV CABLE DEL NORTE  S.R.L.		2004-02-01	LIMA	234		
TV CABLE OLCARÍN S.R.L		2004-02-01	SAN MARTÍN	200		
TV CABLE PUEBLO NUEVO 		2004-02-01	LA LIBERTAD	275		
TV CABLE RIOJA E.I.R.L. 		2004-02-01	SAN MARTÍN	"1,364"		
